Module,pre_proc,vt_impl111,vt_impl111,vt_impl111,gox_time,gox_time,post_proc,post_proc1,post_proc1,post_proc1,post_proc1,nmos,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd
Parameter,xc1,pt_dose,Bmax_act,Bsur_act,Time_gox,tox_gn,n_dose,n_energy,xj_nch,Bmax_nch,Bsur_nch,Lg,Vt0,Vts,Ion,Ioffs,St0,Sts,Gms,Gds,Vdibl,Ronoff,Icrit,Av,dSt
Unit,,,cm**-3,cm**-3,,um,,,um,cm**-3,cm**-3,,V,V,A/um,A/um,mV/dec,mV/dec,S/um,S/um,V,A/A,A/um,V/V,%
Parameter Type,GlobalParamSplit,GlobalParamSplit,ExtractedParam,ExtractedParam,GlobalParamSplit,ExtractedParam,GlobalParamSplit,GlobalParamSplit,ExtractedParam,ExtractedParam,ExtractedParam,GlobalParamSplit,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam
Wafer 1,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,90,0.239194,1.68E+17,3.03E+16,10,8.53E-01,8.50E-01,4.96E-05,2.26E-14,1.06E+02,1.05E+02,2.08E-05,2.33E-07,2.55E-03,2.19E+09,2.04E-08,8.93E+01,-2.49E-01
Wafer 9,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,130,0.260221,1.67E+17,2.90E+16,10,8.52E-01,8.50E-01,4.97E-05,2.21E-14,1.06E+02,1.05E+02,2.08E-05,2.30E-07,2.58E-03,2.25E+09,2.04E-08,9.04E+01,-2.53E-01
Wafer 17,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,160,0.282804,1.67E+17,2.88E+16,10,8.53E-01,8.50E-01,4.97E-05,1.91E-14,1.06E+02,1.05E+02,2.08E-05,2.33E-07,2.60E-03,2.61E+09,2.04E-08,8.96E+01,-2.49E-01
Wafer 25,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,190,0.322236,1.72E+17,2.94E+16,10,8.52E-01,8.50E-01,4.97E-05,2.19E-14,1.06E+02,1.05E+02,2.08E-05,2.38E-07,2.59E-03,2.27E+09,2.03E-08,8.76E+01,-2.49E-01
Wafer 33,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,220,0.360656,1.64E+17,3.16E+16,10,8.57E-01,8.53E-01,4.92E-05,2.60E-14,1.06E+02,1.05E+02,2.06E-05,2.88E-07,3.75E-03,1.89E+09,2.04E-08,7.17E+01,-3.03E-01
Wafer 41,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,90,0.31078,1.56E+17,2.77E+16,10,8.53E-01,8.50E-01,5.08E-05,2.09E-14,1.06E+02,1.05E+02,2.13E-05,2.62E-07,3.05E-03,2.44E+09,2.08E-08,8.13E+01,-2.38E-01
Wafer 49,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,130,0.319409,1.56E+17,2.68E+16,10,8.53E-01,8.50E-01,5.07E-05,2.20E-14,1.06E+02,1.05E+02,2.12E-05,2.82E-07,3.07E-03,2.30E+09,2.08E-08,7.53E+01,-2.40E-01
Wafer 57,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,160,0.337279,1.55E+17,2.70E+16,10,8.53E-01,8.50E-01,5.08E-05,2.40E-14,1.06E+02,1.05E+02,2.13E-05,3.55E-07,3.03E-03,2.11E+09,2.07E-08,5.99E+01,-2.33E-01
Wafer 65,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,190,0.363509,1.57E+17,2.83E+16,10,8.53E-01,8.50E-01,5.07E-05,2.91E-14,1.06E+02,1.05E+02,2.13E-05,3.82E-07,3.07E-03,1.74E+09,2.07E-08,5.57E+01,-2.38E-01
Wafer 73,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,220,0.392961,1.49E+17,2.88E+16,10,8.58E-01,8.55E-01,5.11E-05,2.44E-14,1.05E+02,1.05E+02,2.17E-05,3.98E-07,3.72E-03,2.09E+09,2.13E-08,5.45E+01,-2.72E-01
Wafer 81,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,90,0.321186,1.48E+17,2.58E+16,10,8.54E-01,8.51E-01,5.18E-05,2.13E-14,1.06E+02,1.05E+02,2.17E-05,5.01E-07,3.34E-03,2.43E+09,2.13E-08,4.34E+01,-2.33E-01
Wafer 89,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,130,0.336026,1.44E+17,2.65E+16,10,8.55E-01,8.51E-01,5.19E-05,2.36E-14,1.06E+02,1.05E+02,2.17E-05,4.92E-07,3.35E-03,2.20E+09,2.14E-08,4.41E+01,-2.28E-01
Wafer 97,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,160,0.363222,1.46E+17,2.58E+16,10,8.54E-01,8.51E-01,5.17E-05,2.32E-14,1.06E+02,1.05E+02,2.17E-05,4.89E-07,3.27E-03,2.22E+09,2.10E-08,4.43E+01,-2.26E-01
Wafer 105,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,190,0.38556,1.39E+17,2.90E+16,10,8.55E-01,8.51E-01,5.11E-05,2.41E-14,1.06E+02,1.05E+02,2.15E-05,5.43E-07,4.18E-03,2.12E+09,2.07E-08,3.97E+01,-2.73E-01
Wafer 113,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,220,0.406576,1.38E+17,2.75E+16,10,8.58E-01,8.54E-01,5.18E-05,2.21E-14,1.05E+02,1.05E+02,2.20E-05,3.79E-07,3.99E-03,2.35E+09,2.14E-08,5.79E+01,-2.66E-01
Wafer 121,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,90,0.32222,1.53E+17,2.55E+16,10,8.55E-01,8.51E-01,5.23E-05,2.30E-14,1.06E+02,1.05E+02,2.19E-05,4.72E-07,3.41E-03,2.28E+09,2.16E-08,4.64E+01,-2.30E-01
Wafer 129,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,130,0.357862,1.43E+17,2.58E+16,10,8.55E-01,8.52E-01,5.24E-05,2.71E-14,1.06E+02,1.05E+02,2.20E-05,4.68E-07,3.37E-03,1.93E+09,2.17E-08,4.69E+01,-2.28E-01
Wafer 137,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,160,0.36606,1.48E+17,2.51E+16,10,8.55E-01,8.51E-01,5.21E-05,2.48E-14,1.06E+02,1.05E+02,2.18E-05,4.76E-07,3.36E-03,2.10E+09,2.14E-08,4.59E+01,-2.25E-01
Wafer 145,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,190,0.400186,1.37E+17,2.58E+16,10,8.58E-01,8.54E-01,5.20E-05,2.65E-14,1.05E+02,1.05E+02,2.20E-05,3.83E-07,4.09E-03,1.96E+09,2.15E-08,5.75E+01,-2.69E-01
Wafer 153,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,220,0.412778,1.35E+17,2.62E+16,10,8.58E-01,8.54E-01,5.20E-05,2.26E-14,1.05E+02,1.05E+02,2.20E-05,3.89E-07,4.07E-03,2.30E+09,2.15E-08,5.66E+01,-2.64E-01
Wafer 161,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,90,0.339656,1.59E+17,2.54E+16,10,8.55E-01,8.52E-01,5.25E-05,2.40E-14,1.06E+02,1.05E+02,2.21E-05,4.54E-07,3.43E-03,2.19E+09,2.17E-08,4.86E+01,-2.31E-01
Wafer 169,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,130,0.362478,1.47E+17,2.58E+16,10,8.55E-01,8.52E-01,5.27E-05,2.37E-14,1.06E+02,1.05E+02,2.21E-05,4.28E-07,3.39E-03,2.23E+09,2.18E-08,5.17E+01,-2.31E-01
Wafer 177,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,160,0.388026,1.54E+17,2.48E+16,10,8.55E-01,8.52E-01,5.25E-05,2.42E-14,1.06E+02,1.05E+02,2.20E-05,4.46E-07,3.39E-03,2.17E+09,2.16E-08,4.94E+01,-2.25E-01
Wafer 185,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,190,0.404975,1.42E+17,2.51E+16,10,8.57E-01,8.53E-01,5.23E-05,2.26E-14,1.06E+02,1.05E+02,2.21E-05,3.68E-07,4.11E-03,2.31E+09,2.16E-08,6.01E+01,-2.79E-01
Wafer 193,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,220,0.434003,1.40E+17,2.53E+16,10,8.58E-01,8.54E-01,5.22E-05,2.40E-14,1.05E+02,1.05E+02,2.21E-05,3.69E-07,4.05E-03,2.18E+09,2.16E-08,5.99E+01,-2.69E-01
Wafer 2,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,90,0.239194,1.68E+17,3.03E+16,5,8.43E-01,8.38E-01,9.92E-05,2.34E-14,1.06E+02,1.06E+02,3.94E-05,7.78E-07,4.94E-03,4.23E+09,3.95E-08,5.06E+01,-3.68E-01
Wafer 10,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,130,0.260221,1.67E+17,2.90E+16,5,8.42E-01,8.37E-01,9.95E-05,2.29E-14,1.06E+02,1.06E+02,3.95E-05,7.70E-07,5.07E-03,4.34E+09,3.93E-08,5.13E+01,-3.78E-01
Wafer 18,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,160,0.282804,1.67E+17,2.88E+16,5,8.42E-01,8.37E-01,9.96E-05,1.99E-14,1.06E+02,1.06E+02,3.96E-05,7.86E-07,5.17E-03,5.01E+09,3.92E-08,5.03E+01,-3.73E-01
Wafer 26,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,190,0.322236,1.72E+17,2.94E+16,5,8.42E-01,8.37E-01,9.96E-05,2.27E-14,1.06E+02,1.06E+02,3.95E-05,7.99E-07,5.15E-03,4.38E+09,3.91E-08,4.94E+01,-3.72E-01
